,BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA,Inicia_Mandato,Finaliza_Mandato
3,PRODUCCIÓN Y TRABAJO,BASUALDO,ROBERTO GUSTAVO,SAN JUAN,ALIANZA CAMBIEMOS SAN JUAN,2017-12-10,2023-12-09
6,UNIDAD FEDERAL,CATALFAMO,MARÍA EUGENIA,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,2017-12-10,2023-12-09
7,FRENTE NACIONAL Y POPULAR,CLOSS,MAURICE FABIÁN,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,2017-12-10,2023-12-09
10,UNIÓN CÍVICA RADICAL,COSTA,EDUARDO RAÚL,SANTA CRUZ,UNIÓN PARA VIVIR MEJOR CAMBIEMOS,2017-12-10,2023-12-09
13,UNIDAD CIUDADANA,DI TULLIO,JULIANA,BUENOS AIRES,UNIDAD CIUDADANA,2019-12-10,2023-12-09
19,UNIÓN CÍVICA RADICAL,FIAD,MARIO RAYMUNDO,JUJUY,FRENTE JUJEÑO CAMBIEMOS,2017-12-10,2023-12-09
21,UNIÓN CÍVICA RADICAL,GIACOPPO,SILVIA DEL ROSARIO,JUJUY,FRENTE JUJEÑO CAMBIEMOS,2017-12-10,2023-12-09
23,FRENTE PRO,GONZÁLEZ,GLADYS ESTHER,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,2017-12-27,2023-12-09
24,FRENTE NACIONAL Y POPULAR,GONZÁLEZ,MARÍA TERESA MARGARITA,FORMOSA,FRENTE DE LA VICTORIA,2017-12-10,2023-12-09
25,FRENTE PRO,GONZÁLEZ RIOLLO,GABRIELA,SAN LUIS,AVANZAR Y CAMBIEMOS POR SAN LUIS,2021-12-09,2023-12-09
26,FRENTE NACIONAL Y POPULAR,GUERRA,RICARDO ANTONIO,LA RIOJA,FRENTE JUSTICIALISTA RIOJANO,2021-02-24,2023-12-09
28,UNIDAD CIUDADANA,IANNI,ANA MARÍA,SANTA CRUZ,FRENTE PARA LA VICTORIA,2017-12-10,2023-12-09
37,FRENTE NACIONAL Y POPULAR,LÓPEZ VALVERDE,CRISTINA DEL CARMEN,SAN JUAN,FRENTE TODOS,2017-12-10,2023-12-09
40,UNIÓN CÍVICA RADICAL,MARTÍNEZ,JULIO CÉSAR,LA RIOJA,CAMBIEMOS FUERZA CÍVICA RIOJANA,2017-12-10,2023-12-09
41,FRENTE NACIONAL Y POPULAR,MAYANS,JOSÉ MIGUEL ÁNGEL,FORMOSA,FRENTE DE LA VICTORIA,2017-12-10,2023-12-09
47,UNIÓN CÍVICA RADICAL,PETCOFF NAIDENOFF,LUIS CARLOS,FORMOSA,FRENTE AMPLIO FORMOSEÑO CAMBIEMOS,2017-12-10,2023-12-09
52,FRENTE NACIONAL Y POPULAR,RODRÍGUEZ SAÁ,ADOLFO,SAN LUIS,FRENTE UNIDAD JUSTICIALISTA SAN LUIS,2017-12-10,2023-12-09
56,FRENTE PRO,SCHIAVONI,HUMBERTO LUIS ARTURO,MISIONES,FRENTE CAMBIEMOS,2017-12-10,2023-12-09
57,UNIDAD FEDERAL,SNOPEK,GUILLERMO EUGENIO MARIO,JUJUY,FRENTE JUSTICIALISTA,2017-12-10,2023-12-09
58,MISIONES,SOLARI  QUINTANA,MAGDALENA,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,2017-12-10,2023-12-09
60,UNIÓN CÍVICA RADICAL,TAPIA,MARÍA BELÉN,SANTA CRUZ,UNIÓN PARA VIVIR MEJOR CAMBIEMOS,2017-12-10,2023-12-09
62,FRENTE PRO,TORELLO,JOSÉ MARÍA,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,2022-02-24,2023-12-09
64,FRENTE NACIONAL Y POPULAR,UÑAC,JOSÉ RUBÉN,SAN JUAN,FRENTE TODOS,2017-12-10,2023-12-09
66,HAY FUTURO ARGENTINA,VEGA,MARÍA CLARA DEL VALLE,LA RIOJA,CAMBIEMOS FUERZA CÍVICA RIOJANA,2019-12-20,2023-12-09
