,Unnamed: 0,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
0,0,Aguirre,Hilda Clelia,LA RIOJA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
1,1,Alderete,Juan Carlos,BUENOS AIRES,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
5,5,Aparicio,Alicia N.,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
6,6,Arricau,Carolina Natalia,BUENOS AIRES,01/12/2022,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
9,9,Barbaro,Héctor 'Cacho',MISIONES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
12,12,Bertone,Rosana Andrea,TIERRA DEL FUEGO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
13,13,Borda,Fabian Antonio,CORRIENTES,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
14,14,Bormioli,Lisandro,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
15,15,Brawer,Mara,CIUDAD DE BUENOS AIRES,19/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
16,16,Britez,María Cristina,MISIONES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
17,17,Brue,Daniel Agustín,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
18,18,Caliva,Lía Verónica,SALTA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
20,20,Caparros,Mabel Luisa,TIERRA DEL FUEGO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
21,21,Carnaghi,Guillermo Oscar,NEUQUEN,24/09/2020,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
22,22,Carrizo,Nilda Mabel,TUCUMAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
24,24,Casaretto,Marcelo Pablo,ENTRE RIOS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
25,25,Casas,Sergio Guillermo,LA RIOJA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
26,26,Caselles,Graciela María,SAN JUAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
