,Unnamed: 0,state_county,nombre_lista,votos,Porcentaje,distrito_nombre,texto_transformado,searchbox,FRENTE DE IZQUIERDA_x,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,blanco_perc,FRENTE DE IZQUIERDA_y,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,blanco_votos,blanco,electores,impugnados_recurridos,nulos,votantes,Participación,nulos_perc,impugnados_perc
5,5,BUENOS AIRES_ALMIRANTE BROWN,UNION POR LA PATRIA,112486,36.78,BUENOS AIRES,ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",4.38,0.25,0.3,1.23,22.67,24.51,0.51,0.22,0.46,0.54,0.25,1.11,0.31,0.11,36.78,6.36,13408.0,755.0,929.0,3768.0,69329.0,74951.0,1548.0,684.0,1409.0,1640.0,771.0,3407.0,935.0,338.0,112486.0,19440.0,19440,442946,536,3119,309453,69.86,1.01,0.17
7,7,BUENOS AIRES_AVELLANEDA,UNION POR LA PATRIA,76513,38.01,BUENOS AIRES,AVELLANEDA,"Avellaneda, Buenos Aires",3.86,0.17,0.2,1.05,27.93,20.06,0.41,0.16,0.48,0.27,0.21,1.16,0.24,0.11,38.01,5.69,7763.0,335.0,403.0,2113.0,56226.0,40389.0,834.0,321.0,976.0,548.0,419.0,2342.0,475.0,214.0,76513.0,11447.0,11447,283930,307,1342,202967,71.48,0.66,0.15
14,14,BUENOS AIRES_BERAZATEGUI,UNION POR LA PATRIA,68787,36.21,BUENOS AIRES,BERAZATEGUI,"Berazategui, Buenos Aires",3.95,0.02,0.23,1.12,22.59,25.95,0.44,0.21,0.45,0.41,0.3,1.29,0.17,0.11,36.21,6.56,7512.0,43.0,429.0,2121.0,42917.0,49296.0,837.0,393.0,853.0,779.0,576.0,2443.0,320.0,200.0,68787.0,12459.0,12459,261089,288,1354,191607,73.39,0.71,0.15
38,38,BUENOS AIRES_ESTEBAN ECHEVERRIA,UNION POR LA PATRIA,53508,32.84,BUENOS AIRES,ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",3.91,0.16,0.35,1.21,23.7,28.5,0.42,0.31,0.44,0.68,0.27,0.97,0.22,0.11,32.84,5.91,6365.0,259.0,568.0,1974.0,38626.0,46445.0,688.0,500.0,717.0,1111.0,437.0,1583.0,365.0,186.0,53508.0,9625.0,9625,230998,304,1618,164879,71.38,0.98,0.18
40,40,BUENOS AIRES_EZEIZA,UNION POR LA PATRIA,33082,34.89,BUENOS AIRES,EZEIZA,"Ezeiza, Buenos Aires",3.05,0.13,0.37,0.73,20.34,29.44,0.33,0.24,0.39,0.45,0.29,0.8,0.1,0.19,34.89,8.28,2895.0,127.0,348.0,690.0,19286.0,27915.0,314.0,224.0,369.0,427.0,272.0,757.0,92.0,179.0,33082.0,7852.0,7852,132527,79,511,95419,72.0,0.54,0.08
41,41,BUENOS AIRES_FLORENCIO VARELA,UNION POR LA PATRIA,87894,40.68,BUENOS AIRES,FLORENCIO VARELA,"Florencio Varela, Buenos Aires",4.01,0.4,0.32,1.01,17.02,25.67,0.45,0.08,0.46,0.57,0.28,1.13,0.37,0.15,40.68,7.4,8672.0,863.0,688.0,2192.0,36778.0,55458.0,969.0,177.0,993.0,1229.0,610.0,2437.0,798.0,321.0,87894.0,15980.0,15980,323170,384,1223,217666,67.35,0.56,0.18
56,56,BUENOS AIRES_GENERAL SAN MARTIN,UNION POR LA PATRIA,79949,34.61,BUENOS AIRES,GENERAL SAN MARTIN,"General San Martin, Buenos Aires",3.6,0.18,0.21,1.0,28.72,23.81,0.41,0.01,0.51,0.56,0.25,1.05,0.17,0.08,34.61,4.83,8304.0,405.0,474.0,2311.0,66338.0,55002.0,952.0,20.0,1180.0,1304.0,569.0,2426.0,384.0,194.0,79949.0,11155.0,11155,336362,308,2261,233536,69.43,0.97,0.13
61,61,BUENOS AIRES_HURLINGHAM,UNION POR LA PATRIA,40707,38.36,BUENOS AIRES,HURLINGHAM,"Hurlingham, Buenos Aires",3.38,0.14,0.18,0.87,26.33,22.53,0.34,0.05,0.43,0.48,0.35,0.97,0.21,0.13,38.36,5.26,3585.0,152.0,196.0,921.0,27947.0,23914.0,356.0,55.0,455.0,506.0,368.0,1027.0,227.0,133.0,40707.0,5581.0,5581,151749,209,1018,107357,70.75,0.95,0.19
62,62,BUENOS AIRES_ITUZAINGO,UNION POR LA PATRIA,34068,32.74,BUENOS AIRES,ITUZAINGO,"Ituzaingo, Buenos Aires",4.32,0.12,0.28,1.22,30.88,22.72,0.49,0.11,0.45,0.42,0.29,1.22,0.26,0.11,32.74,4.37,4498.0,129.0,289.0,1270.0,32133.0,23645.0,510.0,116.0,469.0,438.0,305.0,1269.0,270.0,115.0,34068.0,4546.0,4546,145816,145,722,104937,71.97,0.69,0.14
63,63,BUENOS AIRES_JOSE C. PAZ,UNION POR LA PATRIA,53585,37.59,BUENOS AIRES,JOSE C. PAZ,"Jose C. Paz, Buenos Aires",4.31,0.27,0.33,0.94,18.68,27.38,0.53,0.29,0.47,0.47,0.26,0.77,0.46,0.18,37.59,7.08,6143.0,382.0,467.0,1344.0,26631.0,39038.0,751.0,420.0,675.0,663.0,370.0,1094.0,649.0,252.0,53585.0,10095.0,10095,220271,215,1261,144035,65.39,0.88,0.15
66,66,BUENOS AIRES_LA MATANZA,UNION POR LA PATRIA,272435,39.46,BUENOS AIRES,LA MATANZA,"La Matanza, Buenos Aires",4.67,0.15,0.35,0.85,20.88,23.32,0.36,0.16,0.44,0.5,0.26,1.03,0.28,0.06,39.46,7.24,32255.0,1063.0,2385.0,5840.0,144149.0,161020.0,2488.0,1112.0,3043.0,3434.0,1804.0,7130.0,1906.0,418.0,272435.0,49990.0,49990,1009282,1125,5971,697568,69.12,0.86,0.16
68,68,BUENOS AIRES_LANUS,UNION POR LA PATRIA,91482,35.5,BUENOS AIRES,LANUS,"Lanus, Buenos Aires",4.12,0.18,0.17,0.95,30.65,20.53,0.45,0.07,0.49,0.45,0.25,1.06,0.26,0.08,35.5,4.8,10612.0,451.0,447.0,2448.0,78993.0,52895.0,1148.0,175.0,1258.0,1162.0,638.0,2740.0,663.0,201.0,91482.0,12373.0,12373,367757,476,1976,260138,70.74,0.76,0.18
76,76,BUENOS AIRES_LOMAS DE ZAMORA,UNION POR LA PATRIA,130761,37.24,BUENOS AIRES,LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",3.95,0.28,0.25,1.13,25.7,22.93,0.46,0.17,0.47,0.44,0.22,1.01,0.23,0.14,37.24,5.38,13887.0,975.0,878.0,3963.0,90264.0,80533.0,1630.0,611.0,1642.0,1528.0,785.0,3537.0,795.0,482.0,130761.0,18904.0,18904,494501,482,3713,355370,71.86,1.04,0.14
80,80,BUENOS AIRES_MALVINAS ARGENTINAS,UNION POR LA PATRIA,72830,38.17,BUENOS AIRES,MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",3.77,0.25,0.26,0.85,20.17,27.06,0.45,0.11,0.36,0.86,0.26,0.83,0.25,0.12,38.17,6.23,7188.0,474.0,494.0,1626.0,38489.0,51629.0,863.0,214.0,696.0,1641.0,496.0,1579.0,472.0,238.0,72830.0,11886.0,11886,274945,258,1064,192137,69.88,0.55,0.13
84,84,BUENOS AIRES_MERLO,UNION POR LA PATRIA,95569,36.05,BUENOS AIRES,MERLO,"Merlo, Buenos Aires",4.82,0.31,0.35,1.17,20.39,25.29,0.49,0.05,0.48,1.03,0.35,0.97,0.24,0.16,36.05,7.85,12781.0,814.0,918.0,3104.0,54055.0,67039.0,1289.0,136.0,1271.0,2718.0,932.0,2574.0,628.0,436.0,95569.0,20809.0,20809,408733,430,1937,267440,65.43,0.72,0.16
87,87,BUENOS AIRES_MORENO,UNION POR LA PATRIA,93220,40.56,BUENOS AIRES,MORENO,"Moreno, Buenos Aires",3.87,0.09,0.28,0.79,17.89,26.16,0.38,0.03,0.38,0.62,0.27,0.65,0.25,0.14,40.56,7.63,8893.0,207.0,639.0,1827.0,41119.0,60140.0,879.0,74.0,879.0,1434.0,618.0,1504.0,574.0,321.0,93220.0,17527.0,17527,340904,343,1381,231579,67.93,0.6,0.15
88,88,BUENOS AIRES_MORON,JUNTOS POR EL CAMBIO,66562,34.33,BUENOS AIRES,MORON,"Moron, Buenos Aires",4.34,0.09,0.19,1.33,34.33,22.58,0.51,0.09,0.49,0.4,0.23,1.29,0.27,0.1,30.1,3.67,8412.0,177.0,363.0,2578.0,66562.0,43779.0,980.0,165.0,943.0,766.0,446.0,2507.0,519.0,202.0,58353.0,7113.0,7113,272907,223,2005,196093,71.85,1.02,0.11
102,102,BUENOS AIRES_QUILMES,UNION POR LA PATRIA,116809,36.02,BUENOS AIRES,QUILMES,"Quilmes, Buenos Aires",3.5,0.21,0.19,0.91,28.93,21.01,0.41,0.07,0.39,0.44,0.21,0.8,0.14,0.12,36.02,6.66,11345.0,676.0,631.0,2938.0,93811.0,68126.0,1335.0,217.0,1259.0,1421.0,679.0,2597.0,451.0,386.0,116809.0,21607.0,21607,459257,727,1840,326855,71.17,0.56,0.22
115,115,BUENOS AIRES_SAN FERNANDO,UNION POR LA PATRIA,31411,33.35,BUENOS AIRES,SAN FERNANDO,"San Fernando, Buenos Aires",2.87,0.09,0.15,0.77,29.47,24.57,0.3,0.05,0.31,0.74,0.21,0.82,0.18,0.11,33.35,6.02,2706.0,89.0,137.0,721.0,27756.0,23140.0,281.0,45.0,294.0,700.0,202.0,768.0,170.0,101.0,31411.0,5666.0,5666,131734,125,332,94644,71.84,0.35,0.13
116,116,BUENOS AIRES_SAN ISIDRO,JUNTOS POR EL CAMBIO,94681,49.67,BUENOS AIRES,SAN ISIDRO,"San Isidro, Buenos Aires",2.78,0.14,0.12,0.88,49.67,20.9,0.33,0.02,0.33,0.51,0.18,0.85,0.17,0.08,19.58,3.47,5308.0,265.0,236.0,1675.0,94681.0,39833.0,630.0,34.0,637.0,975.0,348.0,1614.0,323.0,143.0,37321.0,6610.0,6610,266913,339,1847,192819,72.24,0.96,0.18
117,117,BUENOS AIRES_SAN MIGUEL,JUNTOS POR EL CAMBIO,53720,32.27,BUENOS AIRES,SAN MIGUEL,"San Miguel, Buenos Aires",3.42,0.22,0.17,0.71,32.27,24.81,0.39,0.08,0.35,0.29,0.21,0.6,0.2,0.07,30.31,5.91,5695.0,367.0,276.0,1181.0,53720.0,41298.0,650.0,127.0,575.0,479.0,351.0,1002.0,326.0,111.0,50464.0,9845.0,9845,238935,267,1422,168156,70.38,0.85,0.16
124,124,BUENOS AIRES_TIGRE,UNION POR LA PATRIA,68871,30.82,BUENOS AIRES,TIGRE,"Tigre, Buenos Aires",3.39,0.08,0.19,0.8,28.92,26.12,0.34,0.06,0.38,0.53,0.2,0.59,0.14,0.07,30.82,7.38,7576.0,175.0,421.0,1786.0,64631.0,58356.0,770.0,133.0,845.0,1174.0,437.0,1321.0,311.0,150.0,68871.0,16489.0,16489,322180,396,1921,225763,70.07,0.85,0.18
129,129,BUENOS AIRES_TRES DE FEBRERO,JUNTOS POR EL CAMBIO,65450,33.83,BUENOS AIRES,TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",3.98,0.1,0.2,0.98,33.83,23.2,0.4,0.0,0.47,0.43,0.23,1.11,0.2,0.1,30.33,4.44,7692.0,188.0,390.0,1904.0,65450.0,44882.0,769.0,9.0,917.0,840.0,449.0,2150.0,381.0,197.0,58683.0,8587.0,8587,275255,302,1916,195706,71.1,0.98,0.15
131,131,BUENOS AIRES_VICENTE LOPEZ,JUNTOS POR EL CAMBIO,80416,48.97,BUENOS AIRES,VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",3.74,0.17,0.14,1.22,48.97,19.54,0.42,0.04,0.36,0.24,0.17,0.86,0.16,0.08,20.72,3.19,6142.0,276.0,230.0,2005.0,80416.0,32086.0,694.0,71.0,587.0,390.0,276.0,1410.0,267.0,127.0,34022.0,5232.0,5232,227056,237,1752,166220,73.21,1.05,0.14
